,,Database ->,Validation Dataset,Validation Dataset,Validation Dataset,Validation Dataset,Validation Dataset,Hidden CSPC Set,Hidden CSPC Set,Hidden CSPC Set,Hidden CSPC Set,Hidden CSPC Set,Hidden G12EC Set,Hidden G12EC Set,Hidden G12EC Set,Hidden G12EC Set,Hidden G12EC Set,Hidden Undisclosed Set,Hidden Undisclosed Set,Hidden Undisclosed Set,Hidden Undisclosed Set,Hidden Undisclosed Set,Test set,Test set,Test set,Test set,Test set
Final ranking,Team name,CinC Abstract #,AUROC,AUPRC,Accuracy,F-measure,Challenge Score,AUROC,AUPRC,Accuracy,F-measure,Challenge Score,AUROC,AUPRC,Accuracy,F-measure,Challenge Score,AUROC,AUPRC,Accuracy,F-measure,Challenge Score,AUROC,AUPRC,Accuracy,F-measure,Challenge Score
1,prna,107,0.893,0.428,0.279,0.411,0.587,0.964,0.832,0.532,0.202,0.761,0.871,0.414,0.206,0.401,0.558,0.889,0.523,0.365,0.379,0.492,0.880,0.429,0.330,0.409,0.533
2,Between_a_ROC_and_a_heart_place,112,0.932,0.548,0.367,0.495,0.672,0.971,0.856,0.555,0.214,0.845,0.915,0.538,0.305,0.495,0.639,0.906,0.578,0.305,0.378,0.412,0.889,0.502,0.324,0.464,0.520
3,HeartBeats,281,0.945,0.556,0.400,0.525,0.682,0.968,0.816,0.587,0.229,0.852,0.930,0.558,0.338,0.523,0.649,0.909,0.594,0.309,0.416,0.396,0.900,0.510,0.340,0.487,0.514
4,Triage,133,0.909,0.491,0.424,0.471,0.640,0.962,0.829,0.610,0.216,0.833,0.894,0.491,0.367,0.472,0.609,0.907,0.584,0.358,0.396,0.370,0.897,0.492,0.382,0.462,0.485
5,Sharif AI Team,445,0.930,0.488,0.359,0.452,0.609,0.966,0.805,0.499,0.222,0.793,0.913,0.489,0.311,0.456,0.577,0.908,0.562,0.297,0.371,0.314,0.911,0.469,0.316,0.426,0.437
6,DSAIL_SNU,328,0.947,0.570,0.389,0.541,0.688,0.981,0.899,0.598,0.250,0.872,0.937,0.561,0.320,0.538,0.654,0.929,0.592,0.319,0.286,0.228,0.900,0.514,0.341,0.433,0.420
7,UMCUVA,253,0.932,0.516,0.243,0.468,0.586,0.956,0.823,0.410,0.197,0.643,0.919,0.510,0.189,0.469,0.574,0.917,0.592,0.225,0.377,0.298,0.915,0.481,0.228,0.438,0.417
8,CQUPT_ECG,85,0.932,0.507,0.320,0.468,0.640,0.966,0.815,0.501,0.190,0.800,0.915,0.504,0.259,0.459,0.609,0.781,0.359,0.064,0.219,0.248,0.821,0.364,0.160,0.321,0.411
9,ECU,161,0.916,0.490,0.362,0.450,0.623,0.959,0.808,0.538,0.201,0.797,0.905,0.496,0.309,0.476,0.596,0.802,0.325,0.199,0.209,0.205,0.832,0.365,0.262,0.352,0.382
