Final ranking,Team name,CinC Abstract #,Validation Set Score,Hidden CPSC Set Score,Hidden G12EC Set Score,Hidden Undisclosed Set Score,Test Set Score,Training code produces output?,Model uses output from training code?,Open-source license?,Registered at CinC?,Preprint at CinC?,Presented at CinC?
1,prna,107,0.587,0.761,0.558,0.492,0.533,Y,Y,BSD 2 License,Y,Y,Y - poster
2,Between_a_ROC_and_a_heart_place,112,0.672,0.845,0.639,0.412,0.520,Y,Y,BSD 2 License,Y,Y,Y - poster
3,HeartBeats,281,0.682,0.852,0.649,0.396,0.514,Y,Y,BSD 2 License,Y,Y,Y - poster
4,Triage,133,0.640,0.833,0.609,0.370,0.485,Y,Y,BSD 2 License,Y,Y,Y - 5th talk in 1st session
5,Sharif AI Team,445,0.609,0.793,0.577,0.314,0.437,Y,Y,BSD 2 License,Y,Y,Y - poster
6,DSAIL_SNU,328,0.688,0.872,0.654,0.228,0.420,Y,Y,BSD 2 License,Y,Y,Y - poster
7,UMCUVA,253,0.586,0.643,0.574,0.298,0.417,Y,Y,BSD 2 License,Y,Y,Y - 3rd talk in 1st session
8,CQUPT_ECG,85,0.640,0.800,0.609,0.248,0.411,Y,Y,BSD 2 License,Y,Y,Y - poster
9,ECU,161,0.623,0.797,0.596,0.205,0.382,Y,Y,BSD 2 License,Y,Y,Y - poster
10,PALab,35,0.653,0.836,0.623,0.144,0.359,Y,Y,BSD 2 License,Y,Y,Y - poster
11,HITTING,171,0.435,0.556,0.418,0.290,0.354,Y,Y,BSD 2 License,Y,Y,Y - poster
12,Gio_Ivo,116,0.426,0.452,0.421,0.205,0.298,Y,Y,BSD 2 License,Y,Y,Y - poster
13,AUTh Team,417,0.470,0.447,0.476,0.143,0.281,Y,Y,BSD 2 License,Y,Y,Y - poster
14,BioS,124,0.349,0.556,0.312,0.228,0.279,Y,Y,BSD 2 License,Y,Y,Y - poster
15,UC_Lab_Kn,229,0.656,0.840,0.300,0.190,0.270,Y,Y,BSD 2 License,Y,Y,Y - poster
16,Cardio-Challengers,225,0.337,0.176,0.369,0.198,0.258,Y,Y,BSD 2 License,Y,Y,Y - poster
17,JuJuRock,134,0.406,0.253,0.437,0.125,0.244,Y,Y,BSD 2 License,Y,Y,Y - poster
18,Minibus,282,0.446,0.722,0.394,0.088,0.236,Y,Y,BSD 2 License,Y,Y,Y - poster
19,Desafinado,363,0.576,0.681,0.556,-0.013,0.233,Y,Y,BSD 2 License,Y,Y,Y - 5th talk in 2nd session
20,TeamUIO,227,0.377,0.379,0.382,0.076,0.206,Y,Y,BSD 2 License,Y,Y,Y - poster
21,Eagles,138,0.214,0.235,0.205,0.205,0.205,Y,Y,BSD 2 License,Y,Y,Y - poster
22,BUTTeam,189,0.696,0.892,0.235,0.104,0.202,Y,Y,BSD 2 License,Y,Y,Y - 2nd talk in 2nd session
23,DSC,71,0.616,0.824,0.301,0.062,0.194,Y,Y,BSD 2 License,Y,Y,Y - 2nd talk in 1st session
24,Pink Irish Hat,198,0.511,0.762,0.127,0.123,0.167,Y,Y,CeCILL-B ,Y,Y,Y - poster
25,Madhardmax,185,0.533,0.544,0.525,-0.109,0.155,Y,Y,BSD 2 License,Y,Y,Y - poster
26,Care4MyHeart,127,0.379,0.611,0.342,-0.027,0.146,Y,Y,BSD 2 LIcense,Y,Y,Y - poster
27,MCIRCC,374,0.616,0.813,0.162,0.050,0.141,Y,Y,PolyForm Strict License 1.0.0,Y,Y,Y - 6th talk in 2nd session
28,heartly-ai,356,0.159,0.351,0.128,0.116,0.136,Y,Y,BSD 2 License,Y,Y,Y - poster
29,Code Team,130,0.657,0.830,0.181,0.023,0.132,Y,Y,MIT license,Y,Y,Y - 1st talk in 2nd session
30,ISIBrno,32,0.659,0.847,0.195,-0.006,0.122,Y,Y,BSD 2 License,Y,Y,Y - poster
31,Alba_W.O.,61,0.308,0.709,0.094,0.035,0.102,Y,Y,BSD 2 License,Y,Y,Y - poster
32,AI Strollers,277,0.342,0.212,0.359,0.096,0.077,Y,Y,BSD 2 License,Y,Y,Y - poster
33,ECGLearner,95,0.486,0.669,0.452,-0.347,0.001,Y,Y,BSD 3 License,Y,Y,Y - poster
34,Leicester-Fox,135,0.395,0.717,0.340,-0.309,-0.012,Y,Y,BSD 2 License,Y,Y,Y - poster
35,deepzx987,424,0.305,0.648,0.250,-0.287,-0.035,Y,Y,BSD 2 License,Y,Y,Y - poster
36,CVC,128,0.476,0.491,0.150,-0.287,-0.080,Y,Y,BSD 2 License,Y,Y,Y - 4th talk in 1st session
37,Cordi-Ak,297,0.304,0.254,0.267,-0.387,-0.113,Y,Y,BSD 2 License,Y,Y,Y - poster
38,MIndS,339,0.368,0.587,0.333,-0.489,-0.128,Y,Y,BSD 2 License,Y,Y,Y - poster
39,easyG,148,0.403,0.692,0.066,-0.622,-0.290,Y,Y,BSD 2 License,Y,Y,Y - poster
40,BiSP Lab,406,-0.179,-0.228,-0.087,-0.740,-0.476,Y,Y,BSD 2 License,Y,Y,Y - poster
41,Technion_AIMLAB,202,-0.406,-0.455,-0.390,-0.848,-0.658,Y,Y,BSD 2 License,Y,Y,Y - 6th talk in 1st session
