Team Name,Entry UID,"Training Run 
Time (minutes)","Validation
AUROC","Validation
AUPRC","Validation
Accuracy","Validation
F-measure","Validation
Challenge Metric","Validation 
Run Time (minutes)","CPSC Test
AUROC","CPSC Test
AUPRC","CPSC Test
Accuracy","CPSC Test
F-measure","CPSC Test
Challenge Metric","CPSC Test 
Run Time","G12EC Test
AUROC","G12EC Test
AUPRC","G12EC Test
Accuracy","G12EC Test
F-measure","G12EC Test
Challenge Metric","G12EC Test
Run Time","Undisclosed Test
AUROC","Undisclosed Test
AUPRC","Undisclosed Test
Accuracy","Undisclosed Test
F-measure","Undisclosed Test
Challenge Metric","Undisclosed Test
Run Time","UMich Test
AUROC","UMich Test
AUPRC","UMich Test
Accuracy","UMich Test
F-measure","UMich Test
Challenge Metric","UMich Test
Run Time"
AizipECGteam,AizipECGteam_503,2083,0.927,0.469,0.248,0.41,0.601,3,0.926,0.774,0.451,0.168,0.613,1,0.907,0.482,0.18,0.398,0.586,2,0.93,0.601,0.257,0.368,0.451,6,0.922,0.496,0.245,0.414,0.552,10
AIHealth,AIHealth_45,2,0.547,0.075,0.086,0.093,-0.038,1,0.569,0.177,0.081,0.04,-0.069,1,0.544,0.08,0.079,0.091,-0.031,1,0.526,0.111,0.061,0.088,-0.223,1,0.537,0.09,0.087,0.09,-0.134,1
AIHealthcare,AIHealthcare_242,31,0.943,0.551,0.396,0.525,0.649,1,0.972,0.87,0.632,0.226,0.79,1,0.93,0.551,0.315,0.531,0.623,1,0.908,0.587,0.176,0.364,0.053,1,0.931,0.548,0.309,0.513,0.502,3
Alpha,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BERCLab,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BIM_Team,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BJUT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bric,bric_515,673,0.772,0.241,0,0.139,0.335,27,0.789,0.426,0,0.06,0.205,7,0.77,0.243,0,0.144,0.365,22,0.743,0.28,0,0.115,0.173,42,0.761,0.239,0,0.156,0.321,80
Brown Biomed AI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CardioLux,CardioLux_304,35,0.5,0.058,0.117,0,-0.404,5,0.5,0.133,0.238,0,-0.439,1,0.5,0.065,0.084,0,-0.383,4,0.5,0.103,0.004,0,-0.848,7,0.5,0.075,0.024,0,-0.6,14
