Team Name,Submission ID,Abstract Decision(R:Rejected O:Oral P:Poster),Withdrawn,Successful Unofficial Phase Entry,Successful Official Phase Entry,Scored On Test Set,Working Training Code,Open Source Licence,Registered At CinC,Preprint At CinC By Deadline,Ranking and Main Prize Eligible,Note
AADAConglomerate,196,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,In person
AIRCAS_MEL1,98,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
Aizip-ECG-team,No Abstract,N/A,N/A,No,Yes,Yes,Yes,MIT License,No,No,No,
AI_Health,No Abstract,N/A,N/A,Yes,Yes,Yes,Yes,BSD 2-Clause,No,No,No,
AI_Healthcare,95,P,No,No,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,No,Remote
Alpha,37,R,No,Yes,No,No,N/A,N/A,No,No,No,
ami_kagoshima,79,O,No,Yes,Yes,Yes,Yes,GPL,Yes,Yes,Yes,Remote
BERCLab,317,P,No,Yes,No,No,N/A,N/A,No,No,No,
BIM_Team,102,P,Yes,Yes,No,No,N/A,N/A,No,No,No,
Biomedic2ai,132,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
BiSP_Lab,192,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
BitScattered,210,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
BJUT,156,P,No,Yes,No,No,N/A,N/A,No,No,No,
bric,No Abstract,N/A,N/A,Yes,Yes,Yes,Yes,BSD 2-Clause,No,No,No,
Brown Biomed AI,137,P,Yes,No,No,N/A,N/A,N/A,No,No,No,
BUTTeam,47,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,In person
cardiochallenger,234,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
CardioIQ,142,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
CardioLux,186,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,No,No,No,
CardiOUS,75,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,In person
Care4MyHeart,38,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
CeZIS,78,O,No,Yes,Yes,Yes,Yes,GPL v3,Yes,Yes,Yes,In person
CinCSEM,170,P,No,No,Yes,Yes,Yes,CeCILL-B,Yes,Yes,No,In person
ConnectedHealth,No Abstract,N/A,N/A,Yes,Yes,Yes,Yes,BSD 2-Clause,No,No,No,
CookieMonster,278,P,Yes,Yes,No,No,N/A,N/A,No,No,No,
Cordi-Ak,285,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
CQUPT_Dontwant,13,P,No,Yes,No,No,N/A,N/A,Yes,Yes,No,Remote
csu_anying,39,O,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
CVBLab_UNIVPM,114,P,Yes,No,No,No,N/A,N/A,No,No,No,
DataLA_NUS,122,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
Dr_Cubic,212,O,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
DSAIL_SNU,80,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
DSC,16,O,No,Yes,Yes,Yes,Yes,BSD 2-Clause and GPL v3,Yes,Yes,Yes,Remote
Eagles,163,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
easyG,198,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
ECG_CQUPT_GF,90,P,No,Yes,No,No,N/A,N/A,No,No,No,
ECUTeam,343,P,No,No,No,No,N/A,N/A,No,No,No,
F-team,151,P,No,Yes,No,No,N/A,N/A,No,No,No,
Genie_Enterprise,218,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,No,No,No,
GFTeam,202,P,Yes,Yes,No,No,N/A,N/A,No,No,No,
Gio_new_img,9,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
HaoWan_AIeC,76,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
HeartBeats,63,P,No,Yes,Yes,Yes,No,BSD 2-Clause,Yes,Yes,No,Remote
HeartlyAI,129,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
heartMAASters,130,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,In person
