Rank	Team	Identifier	AUROC on Training Set	AUPRC on Training Set	F-measure on Training Set	Accuracy on Training Set	Weighted Accuracy on Training Set	Cost on Training Set	AUROC on Validation Set	AUPRC on Validation Set	F-measure on Validation Set	Accuracy on Validation Set	Weighted Accuracy on Validation Set	Cost on Validation Set	AUROC on Test Set	AUPRC on Test Set	F-measure on Test Set	Accuracy on Test Set	Weighted Accuracy on Test Set	Cost on Test Set	Training Time (h:mm:ss)	Run Time (h:mm:ss) on Training Set	Run Time (h:mm:ss) on Validation Set	Run Time (h:mm:ss) on Test Set
1	HearHeart	 HearHeart_1160_1	0.922	0.754	0.647	0.813	0.804	15048	0.859	0.717	0.622	0.792	0.747	12232	0.884	0.716	0.619	0.801	0.78	16333	18:50:50	0:30:42	0:04:34	0:16:21
2	CUED_Acoustics	 CUEDAcoustics_1328_1	0.794	0.556	0.645	0.788	0.817	13931	0.751	0.534	0.625	0.772	0.758	11997	0.757	0.528	0.623	0.763	0.776	16054	0:38:06	0:32:30	0:04:57	0:18:29
2	HearTech+	 HearTech_1455_1	0.828	0.625	0.714	0.868	0.836	16298	0.777	0.603	0.699	0.832	0.768	12755	0.771	0.561	0.647	0.822	0.776	17647	3:04:46	0:12:05	0:01:55	0:06:19
4	PathToMyHeart	 PathToMyHeart_1395_1	nan	nan	nan	nan	nan	nan	0.912	0.748	0.731	0.805	0.768	11222	0.88	0.684	0.686	0.778	0.771	14900	nan	nan	5:03:46	15:31:08
5	CAU_UMN	 CAUUMN_1403_1	0.784	0.646	0.568	0.85	0.828	16169	0.762	0.631	0.544	0.805	0.734	12751	0.763	0.621	0.521	0.786	0.767	16827	1:40:45	1:29:15	0:13:39	0:42:02
6	Care4MyHeart	 Care4MyHeart_1454_1	1.0	1.0	1.0	1.0	1.0	16083	0.918	0.791	0.759	0.859	0.761	12482	0.891	0.717	0.695	0.851	0.757	18137	15:13:23	1:00:51	0:10:26	0:36:14
6	SmartBeatIT	 SmartBeatIT_1079_1	0.894	0.731	0.657	0.825	0.794	15751	0.861	0.724	0.613	0.812	0.751	12757	0.873	0.707	0.633	0.809	0.757	16979	0:27:23	0:59:14	0:10:24	0:34:14
8	CeZIS	 CeZIS_1429_1	0.936	0.785	0.773	0.878	0.904	14357	0.854	0.642	0.647	0.779	0.796	10972	0.804	0.587	0.586	0.761	0.756	16121	6:51:13	3:21:06	0:31:36	1:38:49
9	ISIBrno-AIMT	 ISIBrno-AIMT_1133_1	0.951	0.797	0.584	0.875	0.827	16799	0.898	0.762	0.539	0.812	0.709	12749	0.897	0.746	0.555	0.839	0.755	18221	2:26:20	0:06:25	0:01:04	0:03:09
9	Murmur Mia!	 MurmurMia_1472_1	0.989	0.985	0.845	0.895	0.938	14414	0.895	0.751	0.635	0.758	0.737	11482	0.867	0.688	0.592	0.771	0.755	15290	5:50:04	2:27:41	0:22:42	1:15:43
11	PhysioDreamfly	 PhysioDreamfly_1435_1	1.0	0.998	0.916	0.947	0.968	15002	0.902	0.775	0.633	0.772	0.737	11460	0.885	0.723	0.652	0.799	0.752	17246	2:41:10	0:14:02	0:02:24	0:07:50
12	Heart2Beat	 Heart2Beat_1126_1	0.888	0.705	0.637	0.774	0.803	14074	0.831	0.61	0.515	0.711	0.72	11006	0.849	0.65	0.579	0.738	0.751	15086	4:19:21	0:04:15	0:00:42	0:02:27
13	Listen2YourHeart	 Listen2YourHeart_1314_1	0.889	0.705	0.63	0.732	0.786	13632	0.837	0.666	0.591	0.711	0.671	11474	0.836	0.656	0.597	0.706	0.737	14744	0:13:32	0:05:55	0:01:02	0:03:02
14	Revenger	 Revenger_1359_1	0.768	0.614	0.568	0.856	0.757	18109	0.698	0.582	0.536	0.805	0.678	13552	0.776	0.611	0.559	0.843	0.736	19476	1:25:43	0:01:11	0:00:20	0:00:40
15	matLisboa	 matLisboa_1188_1	0.206	0.241	0.74	0.892	0.835	16161	0.278	0.266	0.663	0.819	0.754	12488	0.269	0.248	0.61	0.807	0.735	17808	3:25:15	0:02:11	0:00:26	0:01:06
15	uke-cardio	 ukecardio_1392_1	0.973	0.904	0.752	0.859	0.851	14804	0.892	0.794	0.584	0.732	0.682	10953	0.89	0.735	0.597	0.79	0.735	16570	27:07:53	0:40:22	0:06:14	0:19:31
17	One_Heart_Health	 One_Heart_Health_1138_1	0.799	0.621	0.591	0.885	0.833	16967	0.739	0.603	0.515	0.785	0.668	13553	0.756	0.597	0.53	0.82	0.729	17637	2:33:57	1:29:42	0:13:13	0:48:55
18	MetaHeart	 MetaHeart_1327_2	0.962	0.822	0.584	0.878	0.784	17982	0.88	0.71	0.566	0.832	0.706	14626	0.868	0.691	0.548	0.834	0.723	18889	7:49:37	0:19:14	0:03:06	0:09:39
19	Team_IIITH	 TeamIIITH_1427_1	0.79	0.656	0.622	0.907	0.86	17305	0.72	0.567	0.533	0.805	0.678	14089	0.725	0.584	0.536	0.813	0.708	19058	1:45:31	0:00:51	0:00:16	0:00:32
