Team	Identifier	AUROC on Training Set	AUPRC on Training Set	F-measure on Training Set	Accuracy on Training Set	Weighted Accuracy on Training Set	Cost on Training Set	AUROC on Validation Set	AUPRC on Validation Set	F-measure on Validation Set	Accuracy on Validation Set	Weighted Accuracy on Validation Set	Cost on Validation Set	AUROC on Test Set	AUPRC on Test Set	F-measure on Test Set	Accuracy on Test Set	Weighted Accuracy on Test Set	Cost on Test Set	Training Time (h:mm:ss)	Run Time (h:mm:ss) on Training Set	Run Time (h:mm:ss) on Validation Set	Run Time (h:mm:ss) on Test Set
AIMS-Lab	 AIMSLAB_1083_1	0.88	0.702	0.658	0.781	0.763	15152	0.818	0.64	0.632	0.758	0.696	11985	nan	nan	nan	nan	nan	nan	2:46:10	2:16:53	0:21:03	nan
AIR1101	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ASPG_EPFL	 ASPGEPFL_1261_1	0.556	0.399	0.045	0.072	0.114	14851	0.537	0.38	0.065	0.107	0.166	13836	0.557	0.393	0.046	0.073	0.111	15083	6:16:40	0:49:24	0:07:19	0:25:13
Aortae	 Aortae_1159_1	0.984	0.93	0.817	0.926	0.894	16714	0.84	0.725	0.618	0.799	0.682	13554	0.87	0.675	0.584	0.82	0.718	17969	2:57:36	0:18:51	0:02:56	0:09:33
Apnea-ai	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
Bin	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
BioInfo_ML_Yan	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
Buckeye AI	 BuckeyeAI_1115_1	0.981	0.952	0.557	0.811	0.566	21541	0.681	0.465	0.319	0.711	0.394	18367	0.695	0.487	0.329	0.732	0.404	24655	0:00:09	0:02:40	0:00:26	0:01:19
CIVA	 CIVA_1370_1	0.951	0.908	0.702	0.699	0.818	12352	0.71	0.524	0.442	0.497	0.54	11348	0.708	0.518	0.461	0.535	0.561	14429	0:01:21	0:01:28	0:00:12	0:00:36
CPUsyd	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CQUPT_Hot_Pot	 CQUPTHotPot_1184_1	0.515	0.37	0.18	0.261	0.465	12607	0.482	0.346	0.194	0.275	0.46	11593	0.482	0.328	0.199	0.289	0.494	13288	2:15:56	0:02:55	0:00:30	0:01:33
Cardiochallenger	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CeZIS	 CeZIS_1429_1	0.936	0.785	0.773	0.878	0.904	14357	0.854	0.642	0.647	0.779	0.796	10972	0.804	0.587	0.586	0.761	0.756	16121	6:51:13	3:21:06	0:31:36	1:38:49
Connected_Health	 ConnectedHealth_1486_1	0.715	0.565	0.51	0.821	0.636	20060	0.685	0.534	0.476	0.779	0.554	16499	0.723	0.559	0.519	0.824	0.642	20564	9:20:33	6:56:51	1:02:27	3:51:58
Eagles	 Eagles_1296_1	0.375	0.271	0.106	0.19	0.499	14851	0.395	0.29	0.102	0.181	0.467	13836	0.357	0.276	0.115	0.208	0.525	15083	0:04:47	0:08:55	0:01:36	0:04:12
Epione_Cardio	 EpioneCardio_1450_1	0.582	0.368	0.106	0.19	0.499	14851	0.559	0.357	0.102	0.181	0.467	13836	0.575	0.377	0.115	0.208	0.525	15083	5:07:10	0:05:41	0:01:07	0:02:45
HearHeart	 HearHeart_1160_1	0.922	0.754	0.647	0.813	0.804	15048	0.859	0.717	0.622	0.792	0.747	12232	0.884	0.716	0.619	0.801	0.78	16333	18:50:50	0:30:42	0:04:34	0:16:21
Heart2Beat	 Heart2Beat_1126_1	0.888	0.705	0.637	0.774	0.803	14074	0.831	0.61	0.515	0.711	0.72	11006	0.849	0.65	0.579	0.738	0.751	15086	4:19:21	0:04:15	0:00:42	0:02:27
Heart2heart	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
HeartBeats	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ISIBrno-AIMT	 ISIBrno-AIMT_1133_1	0.951	0.797	0.584	0.875	0.827	16799	0.898	0.762	0.539	0.812	0.709	12749	0.897	0.746	0.555	0.839	0.755	18221	2:26:20	0:06:25	0:01:04	0:03:09
ITHUST	 ITHUST_1011_1	1.0	1.0	1.0	1.0	1.0	16083	0.487	0.33	0.318	0.544	0.336	13837	0.571	0.363	0.42	0.616	0.456	18747	0:00:06	0:00:07	0:00:03	0:00:04
L3S	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
Life_Is_Now	 LifeIsNow_1337_1	0.836	0.596	0.655	0.657	0.797	11671	0.709	0.475	0.552	0.617	0.678	9850	nan	nan	nan	nan	nan	nan	1:27:01	1:16:43	0:13:22	nan
MCC31	 MCC31_1169_4	0.998	0.993	0.823	0.904	0.78	18661	0.729	0.532	0.401	0.732	0.474	16767	0.685	0.492	0.399	0.734	0.458	23159	0:03:26	0:02:05	0:00:39	0:01:06
MZR_CEME	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
Med_NYCU_kitten	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
Medics	 Medics_1352_1	1.0	1.0	1.0	1.0	1.0	16083	0.708	0.519	0.493	0.671	0.484	13572	0.711	0.539	0.508	0.683	0.515	18983	0:28:45	0:30:04	0:05:30	0:14:59
MobiHealth	 mobihealth_1319_1	0.628	0.433	0.43	0.661	0.436	18373	0.602	0.407	0.462	0.624	0.467	13093	0.562	0.367	0.369	0.606	0.374	18822	0:25:14	1:05:43	0:10:52	0:31:17
OeDeepL_Complex	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
One_Heart_Health	 One_Heart_Health_1138_1	0.799	0.621	0.591	0.885	0.833	16967	0.739	0.603	0.515	0.785	0.668	13553	0.756	0.597	0.53	0.82	0.729	17637	2:33:57	1:29:42	0:13:13	0:48:55
PathToMyHeart	 PathToMyHeart_1382_1	nan	nan	nan	nan	nan	nan	0.887	0.738	0.697	0.792	0.72	12522	0.867	0.673	0.626	0.74	0.695	15615	0:00:27	nan	3:54:55	20:59:48
Proton	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
