Team	Identifier	AUROC on Training Set	AUPRC on Training Set	F-measure on Training Set	Accuracy on Training Set	Weighted Accuracy on Training Set	Cost on Training Set	AUROC on Validation Set	AUPRC on Validation Set	F-measure on Validation Set	Accuracy on Validation Set	Weighted Accuracy on Validation Set	Cost on Validation Set	AUROC on Test Set	AUPRC on Test Set	F-measure on Test Set	Accuracy on Test Set	Weighted Accuracy on Test Set	Cost on Test Set	Training Time (h:mm:ss)	Run Time (h:mm:ss) on Training Set	Run Time (h:mm:ss) on Validation Set	Run Time (h:mm:ss) on Test Set
AIMS-Lab	 AIMSLAB_1189_1	0.995	0.995	0.897	0.897	0.965	5858	0.663	0.684	0.543	0.544	0.671	9178	nan	nan	nan	nan	nan	nan	5:12:13	5:00:29	0:45:24	nan
AIR1101	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ASPG_EPFL	 ASPGEPFL_1261_1	0.557	0.561	0.34	0.516	0.176	24239	0.529	0.548	0.382	0.617	0.244	19163	0.565	0.581	0.33	0.493	0.163	25402	6:16:40	0:48:25	0:08:22	0:24:56
Aortae	 Aortae_1098_1	0.701	0.695	0.652	0.662	0.557	14602	0.681	0.69	0.657	0.691	0.57	11703	0.657	0.644	0.61	0.623	0.496	16659	1:47:42	0:10:44	0:01:48	0:05:26
Apnea-ai	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
Bin	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
BioInfo_ML_Yan	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
Buckeye AI	 BuckeyeAI_1214_1	0.622	0.61	0.588	0.588	0.594	13187	0.58	0.575	0.536	0.544	0.544	11273	0.604	0.603	0.571	0.572	0.604	13551	0:00:09	0:01:52	0:00:19	0:00:57
CIVA	 CIVA_1417_1	0.5	0.5	0.326	0.484	0.824	14851	0.5	0.5	0.277	0.383	0.756	13836	0.5	0.5	0.337	0.507	0.837	15083	0:05:45	0:09:30	0:00:33	0:02:49
CPUsyd	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CQUPT_Hot_Pot	 CQUPTHotPot_1184_1	0.503	0.507	0.356	0.521	0.188	23945	0.451	0.507	0.379	0.611	0.241	19165	0.477	0.486	0.342	0.495	0.172	25154	2:15:56	0:02:49	0:00:31	0:01:37
Cardiochallenger	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
Connected_Health	 ConnectedHealth_1486_1	0.676	0.661	0.579	0.626	0.411	18449	0.64	0.643	0.63	0.705	0.48	14089	0.642	0.632	0.533	0.583	0.361	20314	9:20:33	7:05:11	1:06:28	3:49:24
Eagles	 Eagles_1480_1	0.993	0.993	0.933	0.933	0.969	5794	0.492	0.51	0.444	0.45	0.613	10559	nan	nan	nan	nan	nan	nan	0:12:37	0:01:27	0:00:31	nan
Epione_Cardio	 EpioneCardio_1450_1	0.72	0.723	0.613	0.617	0.696	11160	0.667	0.674	0.555	0.557	0.613	10005	0.684	0.689	0.6	0.604	0.662	12396	5:07:10	0:05:13	0:00:54	0:02:57
Heart2heart	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
HeartBeats	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
