# PhysioNet Challenge 2023 scores for official teams at 72 hours after return of spontaneous circulation (ROSC)
Rank	Team	Challenge Score on the training set	Challenge Score on the validation set	Challenge Score on the test set	Outcome AUROC on the training set	Outcome AUROC on the validation set	Outcome AUROC on the test set	Outcome AUPRC on the training set	Outcome AUPRC on the validation set	Outcome AUPRC on the test set	Outcome Accuracy on the training set	Outcome Accuracy on the validation set	Outcome Accuracy on the test set	Outcome F-measure on the training set	Outcome F-measure on the validation set	Outcome F-measure on the test set	CPC MSE on the training set	CPC MSE on the validation set	CPC MSE on the test set	CPC MAE on the training set	CPC MAE on the validation set	CPC MAE on the test set
1	TUD_EEG	0.613	0.328	0.376	0.871	0.760	0.765	0.921	0.832	0.861	0.371	0.374	0.34	0.270	0.272	0.254	6.809	6.888	7.582	2.120	2.140	2.281
2	AIrhythm	0.537	0.373	0.371	0.839	0.786	0.762	0.900	0.860	0.842	0.731	0.729	0.735	0.658	0.645	0.615	2.114	2.766	3.03	1.023	1.286	1.403
2	FINDING_MEMO	0.414	0.388	0.371	0.779	0.751	0.767	0.849	0.843	0.855	0.705	0.720	0.735	0.694	0.710	0.707	3.328	3.511	3.423	1.209	1.251	1.161
4	Univ_Pittsburgh	0.751	0.388	0.361	0.918	0.707	0.698	0.954	0.825	0.803	0.773	0.654	0.663	0.713	0.576	0.535	3.994	4.206	4.184	1.500	1.632	1.651
5	AIMED	0.882	0.493	0.351	0.967	0.768	0.755	0.981	0.859	0.839	0.900	0.720	0.735	0.890	0.686	0.676	0.998	2.954	3.112	0.752	1.366	1.361
6	ComaToast	0.395	0.433	0.332	0.777	0.698	0.741	0.853	0.822	0.827	0.722	0.673	0.745	0.697	0.641	0.691	2.491	3.083	2.678	1.226	1.389	1.266
7	MIWEAR	0.393	0.284	0.327	0.742	0.668	0.682	0.820	0.781	0.803	0.639	0.636	0.663	0.418	0.412	0.408	3.066	3.239	3.128	1.438	1.500	1.498
8	Data Doctors	0.359	0.209	0.322	0.791	0.736	0.745	0.853	0.815	0.804	0.638	0.626	0.663	0.410	0.385	0.408	0.569	3.604	3.999	0.394	1.413	1.542
9	UFC_MDCC	0.437	0.373	0.312	0.803	0.741	0.748	0.866	0.826	0.825	0.720	0.673	0.703	0.630	0.582	0.548	2.639	2.982	2.916	1.332	1.460	1.421
10	Blue and Gold	0.513	0.164	0.302	0.803	0.680	0.656	0.853	0.750	0.784	0.758	0.664	0.673	0.706	0.583	0.566	2.507	3.611	3.475	1.159	1.497	1.418
11	ibmtPeakyFinders	0.500	0.388	0.297	0.788	0.762	0.744	0.873	0.856	0.824	0.718	0.710	0.709	0.698	0.689	0.667	2.490	2.684	2.703	1.282	1.317	1.3
12	am_vision	0.356	0.254	0.292	0.758	0.693	0.692	0.830	0.777	0.799	0.717	0.701	0.709	0.678	0.655	0.628	2.719	3.308	2.897	1.307	1.480	1.38
12	The BEEGees	0.495	0.194	0.292	0.804	0.712	0.753	0.860	0.786	0.832	0.758	0.692	0.735	0.724	0.647	0.661	2.726	3.337	3.075	1.313	1.553	1.509
14	ZIB_Visual	0.955	0.299	0.257	0.984	0.735	0.677	0.991	0.835	0.787	0.942	0.692	0.68	0.938	0.665	0.626	3.227	6.262	6.333	1.112	1.925	1.974
15	Revenger	0.793	0.328	0.252	0.946	0.731	0.689	0.968	0.837	0.787	0.853	0.682	0.693	0.833	0.639	0.63	1.846	3.837	3.483	0.806	1.421	1.347
16	ComaToss	0.476	0.239	0.243	0.855	0.654	0.63	0.876	0.738	0.767	0.661	0.495	0.461	0.659	0.488	0.456	5.580	6.279	6.741	2.003	2.135	2.257
16	EEGnition	0.442	0.358	0.243	0.821	0.737	0.701	0.886	0.796	0.805	0.756	0.654	0.709	0.725	0.591	0.631	3.712	5.290	4.52	1.026	1.421	1.212
18	PKU_NIHDS	0.497	0.373	0.238	0.861	0.790	0.708	0.909	0.851	0.805	0.636	0.551	0.474	0.635	0.542	0.468	1.901	2.671	2.901	1.056	1.359	1.429
18	SwarthBeat	0.215	0.224	0.238	0.727	0.754	0.736	0.803	0.826	0.812	0.677	0.710	0.719	0.672	0.704	0.699	3.978	3.506	3.841	1.399	1.245	1.254
20	EEG pz lmn sqz	0.471	0.239	0.228	0.675	0.555	0.502	0.819	0.728	0.716	0.651	0.505	0.467	0.649	0.498	0.459	5.624	7.516	7.942	1.791	2.188	2.298
20	Medics	0.204	0.388	0.228	0.697	0.761	0.708	0.768	0.843	0.791	0.662	0.673	0.673	0.508	0.537	0.454	3.212	2.950	3.191	1.476	1.385	1.377
22	BrAInstorm	0.298	0.119	0.223	0.618	0.590	0.603	0.753	0.711	0.738	0.521	0.449	0.435	0.517	0.433	0.417	7.178	8.729	8.572	1.893	2.280	2.225
22	DEIB_POLIMI	0.228	0.149	0.223	0.681	0.582	0.581	0.770	0.699	0.702	0.664	0.607	0.66	0.577	0.503	0.545	2.989	3.376	3.397	1.524	1.623	1.629
24	MetaHeart_YNNU	0.262	0.164	0.218	0.619	0.583	0.595	0.737	0.709	0.744	0.634	0.626	0.66	0.401	0.385	0.398	3.249	3.278	3.251	1.732	1.744	1.736
25	FMMGroup_UVa	0.162	0.209	0.208	0.652	0.565	0.65	0.720	0.663	0.748	0.674	0.645	0.673	0.580	0.551	0.55	3.189	3.781	3.334	1.396	1.578	1.467
26	UCASFighters	0.272	0.388	0.203	0.741	0.693	0.661	0.811	0.802	0.764	0.677	0.664	0.673	0.526	0.485	0.454	2.950	3.088	3.129	1.591	1.668	1.668
27	RPG@IISC	0.482	0.134	0.183	0.871	0.504	0.578	0.882	0.671	0.726	0.674	0.430	0.451	0.672	0.430	0.449	2.596	4.138	4.051	1.410	1.910	1.887
