# PhysioNet Challenge 2023 scores for official teams at 72 hours after return of spontaneous circulation (ROSC)
Rank,Team,Challenge Score on the training set,Challenge Score on the validation set,Challenge Score on the test set,Outcome AUROC on the training set,Outcome AUROC on the validation set,Outcome AUROC on the test set,Outcome AUPRC on the training set,Outcome AUPRC on the validation set,Outcome AUPRC on the test set,Outcome Accuracy on the training set,Outcome Accuracy on the validation set,Outcome Accuracy on the test set,Outcome F-measure on the training set,Outcome F-measure on the validation set,Outcome F-measure on the test set,CPC MSE on the training set,CPC MSE on the validation set,CPC MSE on the test set,CPC MAE on the training set,CPC MAE on the validation set,CPC MAE on the test set
1,AIrhythm,0.804,0.612,0.649,0.946,0.879,0.864,0.964,0.930,0.925,0.876,0.785,0.781,0.863,0.761,0.728,0.645,1.514,2.206,0.427,0.969,1.166
2,TUD_EEG,0.880,0.582,0.644,0.969,0.867,0.865,0.982,0.916,0.927,0.371,0.374,0.34,0.270,0.272,0.254,6.066,6.673,7.095,1.990,2.093,2.212
3,ComaToss,0.874,0.522,0.589,0.983,0.809,0.814,0.986,0.866,0.894,0.885,0.720,0.68,0.881,0.712,0.67,4.149,4.134,4.567,1.747,1.707,1.825
4,MIWEAR,0.492,0.493,0.554,0.844,0.846,0.801,0.897,0.905,0.892,0.674,0.654,0.693,0.507,0.462,0.493,2.583,2.518,2.742,1.236,1.246,1.286
5,PKU_NIHDS,0.853,0.567,0.525,0.962,0.879,0.808,0.975,0.915,0.893,0.857,0.757,0.673,0.852,0.751,0.664,0.892,2.035,2.471,0.570,0.954,1.13
6,The BEEGees,0.631,0.403,0.52,0.875,0.802,0.827,0.921,0.840,0.889,0.814,0.738,0.781,0.792,0.711,0.746,2.276,2.751,2.543,0.934,1.091,1.113
7,MetaHeart_YNNU,0.390,0.537,0.485,0.768,0.788,0.748,0.851,0.874,0.846,0.675,0.664,0.686,0.546,0.502,0.496,2.989,2.926,3.026,1.651,1.631,1.668
8,Blue and Gold,0.589,0.239,0.465,0.899,0.772,0.741,0.928,0.818,0.847,0.832,0.738,0.693,0.815,0.703,0.632,1.696,3.163,3.055,0.869,1.407,1.287
8,EEG pz lmn sqz,0.843,0.373,0.465,0.908,0.753,0.676,0.954,0.852,0.831,0.876,0.720,0.657,0.873,0.708,0.649,2.516,4.222,4.757,1.220,1.639,1.748
10,ibmtPeakyFinders,0.505,0.358,0.46,0.831,0.756,0.76,0.896,0.851,0.859,0.764,0.720,0.739,0.734,0.677,0.674,2.237,2.611,2.781,1.237,1.349,1.362
10,SwarthBeat,0.403,0.313,0.46,0.796,0.694,0.79,0.857,0.786,0.857,0.718,0.570,0.699,0.714,0.570,0.687,3.013,3.202,3.177,1.347,1.472,1.337
12,UCASFighters,0.668,0.537,0.45,0.898,0.798,0.771,0.935,0.870,0.848,0.802,0.710,0.732,0.759,0.637,0.62,2.018,2.869,2.723,1.159,1.456,1.438
13,BrAInstorm,0.495,0.433,0.446,0.786,0.780,0.767,0.864,0.863,0.844,0.669,0.654,0.569,0.668,0.654,0.568,4.977,5.215,6.585,1.343,1.402,1.729
14,EEGnition,0.678,0.463,0.411,0.904,0.768,0.771,0.942,0.857,0.868,0.806,0.673,0.709,0.768,0.606,0.598,3.000,4.766,4.52,0.848,1.290,1.212
