# PhysioNet Challenge 2023 scores for unofficial teams at 72 hours after return of spontaneous circulation (ROSC)
Team,Challenge Score on the training set,Challenge Score on the validation set,Challenge Score on the test set,Outcome AUROC on the training set,Outcome AUROC on the validation set,Outcome AUROC on the test set,Outcome AUPRC on the training set,Outcome AUPRC on the validation set,Outcome AUPRC on the test set,Outcome Accuracy on the training set,Outcome Accuracy on the validation set,Outcome Accuracy on the test set,Outcome F-measure on the training set,Outcome F-measure on the validation set,Outcome F-measure on the test set,CPC MSE on the training set,CPC MSE on the validation set,CPC MSE on the test set,CPC MAE on the training set,CPC MAE on the validation set,CPC MAE on the test set
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Apnea-ai,0.592,0.194,0.371,0.869,0.640,0.677,0.919,0.725,0.791,0.748,0.654,0.608,0.728,0.615,0.579,3.371,4.318,5.337,1.367,1.626,1.807
Ara,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BioITACA_UPV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BJUT-bme,0.450,0.418,0.317,0.829,0.797,0.75,0.887,0.844,0.834,0.768,0.785,0.758,0.739,0.750,0.679,2.721,2.806,3.088,1.287,1.323,1.264
Brainary,0.453,0.358,0.431,0.860,0.729,0.752,0.857,0.768,0.815,0.850,0.710,0.755,0.837,0.673,0.702,1.876,3.860,3.052,0.674,1.187,0.967
BrainExplore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BrownBAI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Buckeye AI,0.406,0.313,0.366,0.805,0.756,0.76,0.862,0.846,0.837,0.743,0.645,0.732,0.691,0.560,0.656,1.895,2.787,2.932,1.047,1.388,1.385
Cerenion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CeZIS,0.568,0.433,0.386,0.745,0.705,0.635,0.876,0.824,0.799,0.722,0.664,0.601,0.713,0.655,0.592,4.357,5.140,6.219,1.188,1.383,1.637
CHY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
coma-nication,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
