# PhysioNet Challenge 2023 scores for unofficial teams at 72 hours after return of spontaneous circulation (ROSC)
Team	Challenge Score on the training set	Challenge Score on the validation set	Challenge Score on the test set	Outcome AUROC on the training set	Outcome AUROC on the validation set	Outcome AUROC on the test set	Outcome AUPRC on the training set	Outcome AUPRC on the validation set	Outcome AUPRC on the test set	Outcome Accuracy on the training set	Outcome Accuracy on the validation set	Outcome Accuracy on the test set	Outcome F-measure on the training set	Outcome F-measure on the validation set	Outcome F-measure on the test set	CPC MSE on the training set	CPC MSE on the validation set	CPC MSE on the test set	CPC MAE on the training set	CPC MAE on the validation set	CPC MAE on the test set
AIA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Apnea-ai	0.872	0.478	0.47	0.957	0.792	0.772	0.974	0.831	0.843	0.865	0.776	0.752	0.847	0.732	0.699	1.834	2.607	3.16	1.026	1.280	1.376
Ara	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
BioITACA_UPV	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
BJUT-bme	0.602	0.522	0.406	0.881	0.852	0.813	0.914	0.892	0.885	0.817	0.748	0.761	0.801	0.719	0.692	2.247	2.326	2.556	1.239	1.270	1.287
Brainary	0.827	0.612	0.733	0.942	0.821	0.868	0.964	0.891	0.929	0.863	0.729	0.797	0.858	0.717	0.779	1.614	2.963	2.255	0.633	0.981	0.837
BrainExplore	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
BrownBAI	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Buckeye AI	0.505	0.328	0.426	0.833	0.743	0.763	0.884	0.830	0.868	0.771	0.673	0.712	0.733	0.606	0.633	0.583	2.855	2.68	0.599	1.456	1.429
Cerenion	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
CeZIS	0.929	0.522	0.663	0.940	0.816	0.853	0.975	0.893	0.931	0.939	0.785	0.778	0.936	0.774	0.752	1.142	3.271	3.631	0.384	0.916	0.99
CHY	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
coma-nication	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ComaKarma_AMC	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
CQUPT_MH_Team	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
CVGJ	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
dreamer	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Edinburgh_AN	0.476	0.209	0.302	0.842	0.738	0.745	0.897	0.798	0.829	0.743	0.682	0.725	0.691	0.614	0.636	2.560	2.733	2.833	1.473	1.523	1.524
eHealth NSW	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ELTE-SP-Lab	1.000	0.373	0.371	1.000	0.807	0.761	1.000	0.880	0.837	1.000	0.766	0.771	1.000	0.733	0.696	0.219	3.421	3.892	0.153	0.953	1.056
EPOCA	0.893	0.269	0.342	0.972	0.691	0.767	0.983	0.798	0.846	0.900	0.645	0.758	0.891	0.602	0.689	1.014	3.108	2.687	0.770	1.486	1.36
GU_HIDS_LoneWolf	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
HeartsAndMinds	0.921	0.403	0.257	0.989	0.707	0.698	0.994	0.829	0.785	0.942	0.673	0.683	0.939	0.649	0.637	0.831	3.380	3.245	0.678	1.471	1.442
IIS	0.762	0.373	0.48	0.922	0.773	0.791	0.949	0.851	0.864	0.829	0.710	0.725	0.819	0.692	0.688	2.312	2.624	2.514	1.274	1.310	1.291
ISIBrno-AIMT	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
IWillSurvive	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
khuBME	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
klabs	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Kycosu	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
L_L	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Labio_YH	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Leicester Fox	0.822	0.507	0.421	0.930	0.753	0.757	0.958	0.863	0.837	0.853	0.636	0.748	0.834	0.553	0.683	2.089	2.673	2.693	1.285	1.463	1.451
MARTA	0.128	0.090	0.124	0.558	0.423	0.519	0.671	0.594	0.694	0.631	0.607	0.65	0.418	0.378	0.394	3.760	4.102	3.998	1.739	1.812	1.805
MBSI	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Melody	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ML_Explorer	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ModelExplorer	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
MSU_BMW_lab	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
MZR_UA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
N/A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NAIL_Freiburg	0.990	0.373	0.708	0.992	0.833	0.887	0.997	0.886	0.935	0.993	0.748	0.82	0.993	0.737	0.794	0.132	3.318	2.719	0.063	0.981	0.778
NeuralRhythms	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NeuTech_XJTLU	0.000	0.000	0	0.500	0.500	0.5	0.629	0.626	0.66	0.629	0.626	0.66	0.386	0.385	0.398	3.499	3.475	3.368	1.674	1.674	1.632
NitWITs	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NMI_LEI	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Noam	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NTHU_SereneDream	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
OPPO_Health_DS	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
osu_cse_team_2	0.466	0.537	0.371	0.807	0.773	0.753	0.871	0.882	0.827	0.735	0.636	0.725	0.674	0.553	0.629	1.118	2.766	2.674	0.820	1.418	1.37
OUS_IVS	0.424	0.537	0.416	0.792	0.748	0.794	0.862	0.840	0.88	0.753	0.701	0.761	0.739	0.689	0.727	4.155	4.402	3.779	1.651	1.657	1.602
PA_HB	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PandaWarrior	0.073	0.075	0.139	0.574	0.496	0.62	0.671	0.636	0.737	0.629	0.626	0.66	0.386	0.385	0.398	4.677	4.631	4.38	1.546	1.536	1.457
PES_OC	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ROSCy Business	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SD-DataSurfers	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SHE Lab	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sparty-23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Surv_to_End	0.429	0.224	0.361	0.771	0.640	0.713	0.846	0.756	0.815	0.662	0.636	0.667	0.488	0.451	0.435	1.004	2.994	2.664	0.765	1.471	1.351
swanseacsvision	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Team KU	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TEAM_NEURO_KGP	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
terablue_vikings	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
The_Bee_Team	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
The_Terrables	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TheBIGbrain	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TsuiLab@CHOP	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
UIU_MAU	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
UniA4Life	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
UOIML	0.406	0.254	0.455	0.818	0.704	0.79	0.858	0.789	0.88	0.759	0.682	0.709	0.748	0.657	0.687	3.303	4.056	3.915	1.003	1.290	1.242
UPFantastic	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
UTU_EEGenies	0.864	0.254	0.361	0.966	0.700	0.762	0.978	0.799	0.836	0.900	0.645	0.748	0.891	0.602	0.681	1.055	3.092	2.713	0.788	1.491	1.369
vee2team	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
VitalLab	0.885	0.164	0.391	0.933	0.593	0.738	0.964	0.713	0.839	0.781	0.617	0.66	0.740	0.530	0.545	1.925	3.487	2.927	1.207	1.687	1.525
WesternUni	0.908	0.522	0.678	0.963	0.832	0.887	0.979	0.894	0.932	0.913	0.757	0.814	0.908	0.740	0.79	1.180	2.333	1.952	0.739	1.135	1.002
WomenLifeFreedom	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ZJUT-Luckycloud	0.835	0.433	0.406	0.948	0.799	0.77	0.968	0.874	0.851	0.885	0.738	0.739	0.875	0.714	0.689	1.370	2.485	2.723	0.860	1.360	1.356
