Team name	CinC submission ID	Title	Authors	Accepted CinC abstract?	Wild card CinC abstract?	Withdrawn CinC abstract?	CinC preprint uploaded by deadline?	Presented at CinC?	Withdrawn from Challenge?	Successful unofficial phase entry	Successful official phase entry?	Open-source license?	Eligible for rankings and prizes?
@Bujumbura2024	N/A	N/A	Carmel Nkeshimana	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
Ahus AI Lab	262	ECG-DUaL: pose-invariant Digitization of printed electrocardiograms via U-net and Local edge detection	Elias Stenhede, Bjørn-Jostein Singstad and Arian Ranjbar	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
AIMED	398	Image-Based Electrocardiogram Classification using Pre-trained ConvNext	Felipe Meneguitti Dias, Estela Ribeiro, Quenaz Bezerra Soares, Jose Krieger and Marco Antonio Gutierrez	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
am_HAI	277	Automated Digitization of Paper-Based ECGs: A Methodological Approach Enhanced by Denoising Autoencoders	Chaithanya Kalyan Reddy Bhuma, Subhash Khambampati, Sushanth Reddy Dondapati, Tejo Vardhan Kattamuri, Bharadwaj Madiraju, Kunal Achintya Reddy Seerapu and Rahul Krishnan Pathinarupothi	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
BAPORLab	227	Segmentation-based Extraction of Key Components from ECG Images: A Framework for Precise Classification and Digitization	Hong-Cheol Yoon, Dong-Kyu Kim, Hyun-Seok Kim, Woo-Young Seo, Chang-Hoe Heo and Sung-Hoon Kim	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
Berru's widows	265	U-Net Guided Digitization of 12-Lead Printed ECGs	Álvaro José Bocanegra, Etel Silva Garcia, Andrea Saglietto and Oscar Camara	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
buckeye_ai	402	Comparative Analysis of Digitization and Direct Classification Approaches for Arrhythmia Detection from Paper ECGs Using CNN Based Architectures.	Jana F. Abedeljaber, Biswajit Padhi and Ping Zhang	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
CeZIS	231	Digital Signal and Image-based ECG Classification and Its Performance by Modern Residual Convolutional Networks	Ľubomír Antoni, Erik Bruoth, Peter Bugata, Peter Bugata Jr., Dávid Gajdoš, Dávid Hudák, Vladimíra Kmečová, Manohar Gowdru Shridhara, Monika Staňková, Gabriela Vozáriková and Ivan Žežula	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
Deakin_Squad	382	A Versatile, Advanced Framework for Enhanced Multi-Label ECG Classification Leveraging Synergistic Deep and Traditional Machine Learning Techniques	Vinayaka Vivekananda Malgi and Sunil Aryal	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
DeepInTheHeart	472	Contrastive Waveform-Image Pretraining for Electrocardiogram Digitization and Classification	Adel M. Hassan and Muhammad Nuhan Ahnaf	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
DeRC_ECG	225	DeRC_ECG: Combined UNet-ResNet Framework for Automated Denoising and Classification of Noisy Paper-Based ECGs	Weijie Sun, Siqi Cao, Sunil V. Kalmady, Md Saiful Islam, Tayyib Ul Hassan, Abram Hindle, Russell Greiner and Padma Kaul	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
DeTECRohr	370	Enabling ECG Classification with Hierachical End-To-End Training	Tizian Claus Dege, Maurice Rohr and Christoph Hoog Antink	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
DSAIL	498	Automated ECG Image Classification with InceptionV3	Antony Gitau, Victor Ruto, David YN Njoroge, Lorna Mugambi, Victoria A. Sitati and Austin Kaburia	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
DSAIL_Nyeri	499	Heart Disease Classification Using EfficientNet B5 with Three-Dimensional Scaled Electrocardiogram Images	David Wachira Warutumo, Paul K. Bett, Clinton Mwangi Kuya and Mary Wambui Kariuki	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
easyG	272	U-Net Guided Digitization of 12-Lead Printed ECGs	Martin Kropf, Dieter Hayn, Martin Baumgartner, Sai Pavan Kumar Veeranki, Fabian Wiesmueller	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
ECG_UVA	496	Applying pre-trained deep learning models for Multi-Label Classification of Realistic and Noisy Electrocardiogram Images	Navchetan Awasthi, Swati Gupta and Max Aiden Kowalchuk	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
ECGénie	481	Deep Learning Image Segmentation for Time-Series Reconstruction from ECG Images	Samer Jammoul, Abdullatif Hassan, Emily Zhang, Philip Warrick and Jonathan Afilalo	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
ETH_SCAI_Lab	174	Comprehensive ECG classification using Tree Models and YOLOv8	Shreyasvi Natraj, Bertram Fuchs, Diego Paez	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
GIRAFFE	210	Crafting Deep Learning Models for Classifying ECG Paper Printouts	Damian Marek Kucharski, Arkadiusz Paweł Czerwiński, Agata Maria Wijata, Jacek Kawa, Yalin Zheng, Gregory Lip and Jakub Nalepa	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
HeartSmartAI_Mak	N/A	N/A	Claire Babirye	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
Heartsmiths	458	Enhancing ECG Digitization and Diagnostic Accuracy through Operational Generative Adversarial Networks	Muhammad Uzair Zahid, Zarmeen Shahid, Khuzaima Shahid, Serkan Kiranyaz, Moncef Gabbouj	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
Inria Epione	372	YOUR-Lead: YOLO and U-Net for Reconstruction of ECG Lead Signals	Rafael Silva, Yingyu Yang, Maëlis Morier, Safaa Al-Ali and Maxime Sermesant	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
Inventec AIC	224	Dual Deep Learning System to Digitalize and Classify 12-Lead ECGs from Scanned Images	ChunTi Chou and Sergio González Vázquez	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
ISIBrno-AIMT	4	Automated Conversion and Analysis of Printed ECG Using Random Signal Pretrained Digitizer	Jan Pavlov, Kristyna Pijackova, Petr Nejedly and Filip Plesinger	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
Leicester Fox	343	Hybrid Approach for Electrocardiogram Images Classification: Residual Network and Random Forest	Noor Qaqos, Ekenedirichukwu Nelson Obianom, Chintan Patel, Jingzhi Gong, Shamsu Idris Abdullahi, Fan Feng, Abdulhamed Mohammed Jasim, Abdulmalik Koya, ZAID A. ABOD, G. Andre Ng and Xin Li	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
LifeSupport	N/A	N/A	George Igwegbe, Martins Awojide and Irene Yeboah	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
Lubdub	433	Cardiovascular Diseases Classification based on ECG Scans with Transfer Learning	Hui Lu, Adithya Ramachandran	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
mins-eth	199	Automated Digitization of Paper ECG Records Using Convolutional Networks: a Faster R-CNN and U-Net Approach	Haoliang Shang, Clemens Hutter and Yani Zhang	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
MultiMeDIA_OX	435	Automated Deep Learning Based Digitization and Classification of Paper Electrocardiograms	Haobo Zhu, Mohammad Atwany, Alexander James Sharp, Abhirup Banerjee	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
Paper2Pulse	31	Paper2Pulse: Advancing Cardiovascular Diagnosis through Digitization and Classification of ECG Images	MINJUNG KANG, HyunJee Nam, Gi nam Kim, Sunghwan Park, Il-Youp Kwak, jaewoo Lee	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
PapyrusECG	495	Fusion of Deep Learning and Rule-Based Techniques for Enhanced Paper-Based ECG Digitization	Amaan Kazi, Kelvin K. Nguyen, Varun Sendilraj, Shadi Manafi, Sasan Esfahani, Zaniar Ardalan and Saman Parvaneh	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
PKU_NIHDS	326	Diffusion Models and Masked Training Helps Digitization and Classification of Multiple Layout ECG Images	Shanwei Zhang, 可鑫 王, Zisheng Liang, Deyun Zhang, Shijia Geng, Jun Li, qinghao zhao, Yuxi Zhou and Shenda Hong	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
Proton	249	ECG Image Digitization Based on ResUNet-YOLO and Anomaly Detection Using Multi-branch SE-ResNet Model	Zhen Wang, Hanshuang Xie, Yamin Liu, MN Zheng	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
PulsePlex	393	Transforming ECG Images to Waveforms with U-Net-LSTM and Multilabel Classification with ResNet-LSTM: A Multimodal approach by PulsePlex	MD. Kamrujjaman Mobin	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
Revenger	128	A Multi-Stage Framework for Simultaneous Digitization and Classification of Electrocardiogram Images	Jingsu Kang and Hao WEN	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
RoadRuNNers	247	Driving ECG Digitization - Using Techniques from Autonomous Driving to Detect Regions of Interest in ECG Images	Philip Hempel and Nicolai Spicher	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
RPG_ML@IISC	81	Automating the Classification of ECG Images with Deep Neural Networks	Vasanth Kumar B, Rahul Pandit	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
shenhai_dl	468	A Hybrid Method Combining Graph Convolutional Network and Structured State Space Model for Reconstructing and Classifying Paper ECGs	Xiang Wang	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
SignalSavants	97	Combining Hough Transform and Deep Learning Approaches to Reconstruct ECG Signals From Printouts	Felix H. Krones, Terry J. Lyons, Adam Mahdi and Benjamin Walker	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
Team_IRS	385	Optimizing 12-Lead Electrocardiogram Abnormality Detection with VGGNet and ResNet	Ravindu Hiran Weerakoon, Sasika Pamith Amarasinghe and Isiri Amani Withanawasam	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
The Easy Geese	118	A Modular Framework for the Interpretation of Paper ECGs	Sara Summerton, Nicola K. Dinsdale, Tuija Leinonen, George Searle, Matti Kaisti and David C. Wong	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
TimeBeater	167	ECGFusion: Adaptive Multi-Model Framework for Noise-Robust Digitization and Fine-Grained Classification of Paper ECGs	Runze Shen, ke jiang, 政 胡 and sibo wang	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
