Channel,Availability_%,Sampling_Freq_Hz,FS_Occurrence_%_within_Channel,Total_Files_with_this_FS
abdominal,100.0,500.0,57.41,31
abdominal,100.0,200.0,42.59,23
c press,98.15,25.0,98.11,52
c press,98.15,200.0,1.89,1
c-flow,92.59,25.0,98.0,49
c-flow,92.59,200.0,2.0,1
c3-m2,98.15,500.0,58.49,31
c3-m2,98.15,200.0,41.51,22
c4-m1,83.33,500.0,55.56,25
c4-m1,83.33,200.0,44.44,20
chest,100.0,500.0,57.41,31
chest,100.0,200.0,42.59,23
chin,100.0,500.0,57.41,31
chin,100.0,200.0,42.59,23
e1,100.0,500.0,57.41,31
e1,100.0,200.0,42.59,23
e2,100.0,500.0,57.41,31
e2,100.0,200.0,42.59,23
ekg,100.0,500.0,57.41,31
ekg,100.0,200.0,42.59,23
f3-m2,98.15,500.0,58.49,31
f3-m2,98.15,200.0,41.51,22
f4-m1,90.74,500.0,57.14,28
f4-m1,90.74,200.0,42.86,21
lat,100.0,500.0,57.41,31
lat,100.0,200.0,42.59,23
npt,100.0,25.0,96.3,52
npt,100.0,200.0,1.85,1
npt,100.0,500.0,1.85,1
o1-m2,98.15,500.0,58.49,31
o1-m2,98.15,200.0,41.51,22
o2-m1,83.33,500.0,55.56,25
o2-m1,83.33,200.0,44.44,20
rat,100.0,500.0,57.41,31
rat,100.0,200.0,42.59,23
sao2,100.0,25.0,98.15,53
sao2,100.0,200.0,1.85,1
therm,100.0,500.0,57.41,31
therm,100.0,200.0,42.59,23
